ID,Producto
1808,Ultimas piezas
2987,BOLSA DE EMPAQUE CHICA
2988,BOLSA DE EMPAQUE MEDIANA
2989,BOLSA DE EMPAQUE GRANDE
2990,BOLSA DE EMPAQUE JUMBO
2991,BOLSA DE CINCHOS CHICO
2992,BOLSA DE CINCHOS MEDIANO
2993,BOLSA DE CINCHOS GRANDE
2994,ROLLO P/IMPRESORA DE TICKETS
2995,CINTA CANELA PIEZA
2996,DIUREX CHICO PIEZA
2997,SILICON PIEZA
2998,PAPEL METALICO PIEZA
2999,CONTROL PARA MANGUERA FIJA
3000,CONTROL P/MANGUERA DE MOVIMIENTO
3001,CONTROL P/ TIRA LED BLANCA
3002,CONTROL P/ TIRA LED COLOR
3030,CONECTOR PARA MANGUERA
1809,SERIE 100 L BLANCA
1810,SERIE 100 L COLOR
1811,MUSICAL 140 L BLANCA 7M
3156,MUSICAL BLANCA DE 140 L C/TRANSP
1812,MUSICAL 140 L COLOR  7M
3157,MUSICAL 140 L AZUL C/TRANSP
1813,MUSICAL 140 L ROSA 7M 
3129,MUSICAL 140 L MORADA
2657,MAGICA 200 L AZUL 10M
1814,MAGICA 300 L BLANCA 16M
3158,MAGICA 300 L BLANCA C/TRANSP
1815,MAGICA 300 L COLOR 15M
2658,MAGICA 300 L AZUL 15M 
1816,MAGICA 300 L MORADA 16M 
3159,MAGICA 300 L BLANCA DOBLE FUNCION
3160,MAGICA 300 L COLOR DOBLE FUNCION
2659,MAGICA 400 L BLANCA 20M
2660,MAGICA 400 L COLOR 20M
1817,MAGICA 400 L COLOR C/TRANSP 20M
3161,MAGICA 400 L AZUL C/TRANSP
1818,MAGICA 500 L BLANCA 20M 
1819,MAGICA 500 L COLOR 20M 
1820,LED 50 L BLANCA C/VERDE
1821,LED 50 L BLANCA C/TRANSP
1822,LED 50 L CALIDA C/VERDE
1823,LED 50 L CALIDA C/TRANSP
1824,LED 50 L COLOR C/VERDE
1825,LED 50 L COLOR C/TRANSP
1826,LED 50 L AZUL
1827,LED 50 L MORADA 
1828,LED 100 L BLANCA
1829,LED 100 L CALIDA
1830,LED 100 L COLOR
1831,LED 100 L AZUL
1832,LED 100 L MORADA
2661,LED 100 L ROSA
2662,LED 100 L ROJO
2663,LED 100 L BLANCA/MORADO
2664,LED 100 L BLANCA/AZUL
2665,LED 140 L MUSICAL BLANCA C/TRANSP 
1833,LED 140 L MUSICAL BLANCA C/VERDE
1834,LED 140 L MUSICAL CALIDA
1835,LED 140 L MUSICAL COLOR 
2666,LED 140 L MUSICAL COLOR C/VERDE
1836,LED 140 L MUSICAL MORADA 
2667,LED 140 L MUSICAL BLANCA/MORADO 
1837,LED 140 L BLANCA C/VERDE
1838,LED 140 L BLANCA C/TRANS
1839,LED 140 L AZUL C/AZUL 
2668,LED 140 L COLOR 
3116,LED 140 L  ROJO C/VERDE
3117,LED 140 L CALIDA C/VERDE
3118,LED 140 L BLANCA/AZUL 
3119,LED 140 L VERDE C/VERDE
3120,LED 200 L VERDE C/VERDE
3121,LED 200 L ROJO C/VERDE
3122,LED 200 L CALIDA C/VERDE
3123,LED 200 L BLANCA 
1840,LED 300 L BLANCA 
1841,LED 300 L BLANCA OPALINO
1842,LED 300 CALIDA C/VERDE 15M
1843,LED 300 L CALIDA C/TRANSP 15M
1844,LED 300 L COLOR 15M
1845,LED 300 L MULTI/BLANCA 15M
1846,LED 300 L AZUL 15M
1847,LED 300 L AZUL/BLANCO 15M 
1848,LED 300 L MORADA 15M
1849,LED 300 L MORADA/BLANCO 16.4M
1850,LED 300 L ROJO 15M
1851,LED 300 L CALIDA/ROJO 15M
1852,LED 300 L ROSA 15M 
1853,LED 300 L VERDE 15M 
1854,LED 300 L VERDE/MORADA
2669,LED 300 L VERDE/AZUL 
2670,LED 300 L ROSA/BLANCO 15M
1855,LED 400 L BLANCA C/VERDE 
1856,LED 400 L COLOR C/VERDE 20M
3162,LED 400 L AZUL
1857,LED 500 L BLANCA 25M
1858,LED 500 L CALIDA 25M
1859,LED 500 L COLOR 25M
1860,LED 500 L AZUL 25M
2671,LED 500 L BLANCA/AZUL 25M
1861,LED 500 L MORADA/BCO 25M
2672,LED 500 L ARCOIRIS 25M
3153,LED 500 L BLANCA/CALIDA
1862,LED 600 L BLANCA 30M
1863,LED 600 L COLOR
1864,LED 700 L BLANCA 35M
1865,LED 700 L COLOR 35M
3163,CASCADA 100 L BLANCA  INTERMITENTE
1866,CASCADA 300 L BLANCA 3.60M
2673,CASCADA 300 L COLOR 3.75 m
1867,CASCADA 300 L AZUL 3.75M
3164,CASCADA 300 L AZUL C/TRANSP
2674,CASCADA 400 L BLANCA 5m
3165,CASCADA 400 L  COLOR C/TRANSP
3166,CASCADA 400 L AZUL
3167,CASCADA 400 L AZUL C/TRANSP
3168,CASCADA 400 L LILAS C/TRANSP
1868,CASCADA 500 L BLANCA 8.10M
1869,CASCADA 500 L COLOR 8.10M
1870,CASCADA 500 L AZUL 7M 
1871,CASCADA LED 300 L BLANCA 6M
1872,CASCADA LED 300 L CALIDA 6M
1873,CASCADA LED 300 L COLOR 6M
1874,CASCADA LED 300 L AZUL 6M
1875,CASCADA LED 300 L MORADA 6M
2675,CASCADA LED 300 L AZUL/BCO 
3054,CASCADA LED 300 L MULTI/BLANCA
3214,CASCADA LED 400 L BLANCO 
2676,CASCADA LED 400 L COLOR 8M
1876,CASC LED 400 L COLOR C/BLANCO 8M 
2677,CASCADA V3 DESTELLOS 480 L BCA 6.15M
1877,CASCADA LED 500 L BLANCA 10M
1878,CASCADA 500 L BLANCA FLASH 8M
1879,CASCADA LED 500 L COLOR 10M
3037,CASCADA LED 500 L MORADA
3038,CASCADA LED 500 L ROSA
3055,CASCADA LED 500 L AZUL
1880,CASCADA LED 600 L BLANCA 6.40M
1881,CASCADA LED 600 L COLOR 6.40M 
3215,CASCADA LED 700 L BLANCO
3216,CASCADA LED 700 L COLOR 
2678,CASCADA LED 1000L BLANCA 20M
2679,CASCADA LED 1000L COLOR 20M
2680,CASCADA V8 LED 300L BLANCA 5.8m 
2681,CASCADA V8 LED 300L COLOR 5.8m 
3273,CASCADA V8 LED 500L BLANCA 
3274,CASCADA V8 LED 500L COLOR 
3272,CASCADA V8 LED 500 L AZUL/BLANCO
1882,RED DE PINO LED 
1883,RED 180 L BLANCA 
3169,RED  240 L BLANCA
3170,RED 240 L COLOR
1884,RED 320 L BLANCA  
1885,RED 320 L COLOR 
1886,RED 320 L AZUL C/AZUL
2682,RED 320 L MORADA C/MORADO 
1887,RED 320 L ROSA C/ROSA 
3171,RED 320 L LILA C/TRANSP
3209,RED 320 L AZUL C/TRANSP
3172,RED  408 L BLANCA 
3173,RED 408 L COLOR
1888,RED LED 320 L BLANCA 
1889,RED LED 320 L COLOR
1890,RED LED 320 L AZUL
1891,RED LED 320 L AZUL/BLANCO 
1892,RED LED 320 L MORADA 
2683,RED V8 LED 320 L BLANCA 
2684,RED V8 LED 320 L COLOR
3174,RED LED 304 L ROSA
1893,COMETA FUGAZ MULTICOLOR
1894,LETRERO FELIZ NAVIDAD MULTICOLOR
1895,FOCO CON BASE
1896,LAMPARA MULTICOLOR
1897,FOCO TIPO ROSQUILLA
1898,MOÑO ROJO
1899,DOS MUÑECOS DE NIEVE LED 
1900,SANTA CON AVION LED
1901,ESTRELLA 40 L BLANCA MULTIFUNCION 
1902,ESTRELLA 40 L COLOR MULTIFUNCION
1903,TRES ESFERAS LED BLANCA 300 L 
1904,TRES ESFERAS LED BICOLOR 300 L 
1905,ESFERA LED BICOLOR 150 L
1906,ESFERA LED BLANCA 150 L
1907,ESFERA LED BLANCA 200 L
1908,ESFERA LED CALIDA 200 L
1909,ESFERA LED BICOLOR 200 L
1910,BASTON LED COLOR 45 L
1911,JUEGO 8 BASTONES MED MORADO
1912,JUEGO 4 BASTONES GDE MORADO 
1913,JUEGO 4 BASTONES GDE ROJO
1914,JUEGO 8 BASTONES MED ROJO
1915,GUIA 3 REGALOS BICOLOR 
1916,LUNA DE METAL
1917,VENADO 80 CM METAL ORO
1918,3 REGALOS PIE DE ARBOL LED
1919,ARBOL DE ACRILICO 1.80
2685,FIGURA PALETA CHICA 66 L
2686,FIGURA PALETA 72 L 
2687,BASTON DOBLE AZUL 45 L
3220,VENADO 80 CM METAL PLATA
2688,ESFERA 15 CM COLOR 8 CAMBIOS 
2689,ESFERA 20 CM COLOR 8 CAMBIOS 
2690,MUÑECO DE NIEVE C/PINO LED 20 L
2691,DESTELLADOR LASER 5000 PARA EXTERIOR
2692,DESTELLADOR LASER 5000A PARA EXTERIOR
2693,PICO DE METAL GRANDE 120 L ORO
2694,MOÑO DE METAL  100 L
2695,VENADO 70 CM METAL DORADO
2696,LUCERO DE METAL ORO 80 L 
2697,ANGEL DE METAL 100 L
2698,MOÑO DE METAL DETALLES ROJO/VDE 80 L
2699,LUCERO METAL DETALLE ROJ/VDE 80 L
2700,ESTRELLA NEON 63 CM BLANCA 
2701,ESTRELLA NEON 63 CM AZUL 
2702,ESTRELLA NEON 63 CM ROJO 
2703,ESTRELLA NEON 63 CM VERDE 
2704,ARBOL GOTA DE AGUA AZUL/BCO 128 L 
2705,ARBOL GOTA DE AGUA BICOLOR 128 L 
2706,ARBOL GOTA DE AGUA BLANCA 128 L 
2707,ARBOL C/FLORES LED BLANCO 
2708,VENADO MANGUERA FLASH 200 L
2026,CAMPANA DE METAL ORO 60 L 
2027,COMETA DE METAL 80 L
2709,FAROL 120 L 
1995,VENADO LED 150 L 
2979,DESTELLADOR LASER FIGURAS P02
2984,LUCERO DE METAL PLATA 80 L
3008,ACRILICO TRES MUÑECOS JL2060
3009,ACRILICO VENADO CALIDO JL2065
3010,80 CM MUÑECO DE NIEVE 
3011,REGALO CUADRADO METAL ROJO JL2143
3012,MUÑECO METAL JL2145
3013,ANGEL CON FLAUTA METAL JL2151 
3014,TRINEO FLASH JL3304 
3015,VENADO TERCIOPELO ORO 1m
3016,VENADO TERCIOPELO ORO 1.20m
3023,FIGURA COPO DE NIEVE 30 L BLANCA ACETATO 
3004,FIGURA COPO DE NIEVE METAL BLANCA 80CM
3033,LUCERO DE METAL PLATA 100 L
3034,PICO DE METAL GRANDE 120 L PLATA
3035,REGALO CUADRADO METAL ORO JL2143
3040,CAMPANA DE METAL PLATA 60 L
3045,FAROL DE METAL ORO JL2124A 80 L
3046,PICO DE METAL MEDIANO 100L ORO
3047,PICO DE METAL MEDIANO 100L PLATA
3048,ESFERA DE METAL 120 L ORO
3049,MUÑECO DE METAL 80CM ORO JL2149
3053,DESTELLADOR LASER PUNTOS Y FIGURAS P04
3061,FIGURA COPO DE NIEVE 30 L COLOR ACETATO
3081,REGALO REDONDO METAL ROJO
3111,PICO DE METAL CHICO ORO JL2125
3112,FIGURA TRES VELAS JL2183
3124,VENADO 120 CM METAL JL2138
3125,VENADO ACRILICO CALIDO 31 CM
3130,2 ESFERAS DE LED METALICA ROJO 120 L
3131,2 ESFERAS DE LED METALICA PLATA 120 L
3132,2 ESFERAS DE LED METALICA ORO 120 L
3140,FAROL DE METAL JL2124B 100 L
3141,ESFERA 20 CM BLANCA JL3308
3142,ESFERA 20 CM COLOR JL3309
3143,CAJA DE REGALO CAMBRAY ROJO C/VDE JL3311
3144,CAJA DE REGALO CAMBRAY ORO C/ROJO JL3312
3145,CAJA DE REGALO CAMBRAY ROJO C/ORO JL3313
3175,ESTRELLA 50 L LED AZUL
3176,VELA MAGICA LED AZUL
3177,VELA MAGICA LED ROJO
3178,FIGURA COPO DE NIEVE LED MULTICOLOR
3219,ESFERA DE METAL 120L PLATA
3221,ARBOL C/FLORES LED CALIDO
3222,PICO DE METAL CHICO PLATA JL2125
3223,REGALO REDONDO METAL ORO 
3250,ESFERA DE LED METALICA ORO 240 L
3251,ESFERA DE LED METALICA PLATA 240L
3252,ESFERA DE LED METALICA ROJO 240L
3106,ESFERA FIESTA MODELO R901
1920,PUNTA ARBOL LED BLANCA CHICA
1921,PUNTA ARBOL LED BICOLOR CHICA
1922,PUNTA ARBOL LED GOTA AGUA BLANCA 
1923,PUNTA ARBOL LED GOTA AGUA COLOR 
1924,PUNTA ARBOL LED GOTA BCO/AZUL 
1925,PUNTA ESTRELLA LED BICOLOR DORADA
1926,PUNTA DE ARBOL PLATA/BLANCA 18 L
1927,PUNTA ARBOL LED MOÑO BLANCO 60 L 
1928,PUNTA ARBOL LED MOÑO COLOR 60 L 
1929,PUNTA ARBOL LED MOÑO ROJO 60 L 
1930,PUNTA ESTRELLA GDE LED COLOR 
3179,PUNTA DE ARBOL COPO DE NIEVE LED MULTICOLOR
3275,PUNTA DE ESTRELLA BLANCA
3276,PUNTA DE ESTRELLA COLOR
2710,V3 300 L DESTELLOS BLANCA
2711,V3 300 L DESTELLOS COLOR
1931,SERIE 8 BASTONES LED ROJO
1932,ARROZ 400 L BLANCO 20M
1933,ARROZ 400 L COLOR 20M 
1934,GUIA DE 10 FOCOS LED CALIDA 3.5M
1935,FLOR DE ROSA 28 L LED ROJA TIPO DIM 3M
1936,CARAMELO LED ROJO 100 L
1937,ROSA GRANDE LED ROJO 22 L 2.5M
1938,GUIA 50 L LED BLANCO 2.4M 
1939,GUIA 50 L LED ROJA 
1940,GUIA 50 L LED CALIDA 
3262,SERIE DE ALAMBRE 300L  C/FOQUITOS BLANCA
3263,SERIE DE ALAMBRE 300L  C/FOQUITOS CALIDA
3264,SERIE DE ALAMBRE 300L  C/FOQUITOS COLOR
1949,CANICA 50 L LED CALIDA 
1950,CANICA 50 L LED BLANCA 
1951,CANICA 50 L LED COLOR
1952,CANICA 50 L LED BLANCA/AZUL 
3146,CANICA 50 L LED ORO
1955,ARROZ 140 L BLANCO
1956,ARROZ 140 L COLOR
1957,ARROZ 180 L AZUL 
1958,GUIA TUBITO LED BLANCA
1959,GUIA TUBITO LED COLOR
1960,NOCHEBUENA MUSICAL
1961,UVA GRANDE
1962,GOTA DE AGUA AZUL 
1963,SER NOCHEBUENA COLOR LED
1964,SER NOCHEBUENA ROJA LED
1965,PAQUETE DE 6 CARAMBANO LED COLOR
1966,FLOR CIRUELO ROJO
1967,FLOR NOCHEBUENA GRANDE COLOR
1968,ARROZ 180 L ROJO 
1969,FLOR CIRUELO COLOR 
1970,FIGURA PICO DE HIELO 40 L BCA 
1971,SERIE ESTRELLA LED BICOLOR 30 L 
1972,ESTRELLA 72 L LED COLOR 
1973,ESTRELLA 72 L LED AZUL
1974,NOCHEBUENA MAGICA 20 L 
1975,GOTA DE AGUA BLANCA
1976,CORTINA 320 L MAGICA BLANCA 
1977,CORTINA 320 L MAGICA COLOR 
1978,FOCO C9 50 L COLOR
1979,MUÑECO DE NIEVE CALIDO 20 L 
1980,BOMBILLA LED BICOLOR BCO /AZUL 30L (FIG. HIELO) 
1981,GLOBO LED BICOLOR 20 L
1982,PIÑA DE PINO BICOLOR
1983,PAQUETE DE 6 CARAMBANO LED BLANCO 
1984,CANICA CUETE 200 L BLANCA 
1985,FLOR 8 PETALOS MORADA LED 20 L
2712,ARROZ 400 L AZUL 
2713,ARROZ 400 L MORADO 
2714,ARROZ 140 L AZUL
2715,ARROZ 140 L ROSA 
2716,ARROZ 140 L AMARILLO 
2717,LIBRE
2718,5MTS GUIA ESFERAS 12 CAMBIOS 
2719,FLOR DE AZALEA AZUL 30 L 
2720,FLOR DE BAHUINIA MORADA 30 L
2721,PALETA BLANCA/MORADO 64 L 
2722,SERIE 10 BASTONES LED MORADO 40 L
2723,FLOR DE AZUCENA BLANCA 30 L 
2724,ESTRELLA TIPO NUEVO MORADA 30 L
2725,NUEVA ROSA MAGICA COLOR 32 L
2726,NUEVA ROSA MAGICA ROJA 32 L
2727,CADENA LED VERDE/MORADO 300 L
2728,CADENA LED MORADO 300 L
2729,CADENA LED AZUL 300 L
2730,CADENA LED COLOR 300 L
2731,SERIE ESFERAS COLOR 15 L
2732,SERIE ESFERAS CALIDA 20 L
2733,SERIE ESFERAS BLANCA 20 L
2734,MUÑECO DE NIEVE LED BICOLOR 20 L
2735,FOCO LED LARGO 5M BLANCA 
2736,FOCO LED LARGO 5 M COLOR 
2737,FOCO LED LARGO 300 L BLANCA 14.40 M
2738,FOCO LED LARGO 300 L CALIDA 14.40 M
2739,FOCO LED LARGO 300 L COLOR 14.40 M P.P.
2946,FLOR AZALEA MORADA 
2981,FIGURA PICO DE HIELO LED BLANCA 30 L
2982,SERIE ESFERAS ROJO 15 L 
2983,SERIE ESFERAS AZUL 15 L
3019,C7 LED BICOLOR 20 L
3020,SERIE CAMPANAS BLANCA 20 L
3021,SERIE CAMPANAS CALIDA 20 L 
3022,SERIE CAMPANAS BICOLOR 20 L
3017,C7 LED BLANCA 20 L
3018,C7 LED CALIDA 20 L
3031,GLOBO CON LUZ CALIDA
3032,GLOBO CON LUZ BLANCA 
3036,NOCHEBUENA LED ROJO 20 L
3082,SERIE 16 FOCOS LED BLANCOS
3086,SERIE 16 FOCOS LED CALIDO
3087,SERIE 16 FOCOS LED BLANCO/AZUL
3088,FIGURA PICO DE HIELO 40 L AZUL
3090,20 L ESFERA BICOLOR 4 CM
3091,GUIA TUBITO LED AZUL
3089,CADENA LED BLANCA C/VERDE
3126,CADENA LED CALIDA C/VERDE
3128,CADENA LED COLOR C/VERDE
3133,FOCO LED LARGO 100 L BCO/AZUL
3147,CANICA (2.5CM) 40 L BLANCA
3148,CANICA (2.5CM) 40 L BICOLOR
3149,CANICA (2.5CM) 40 L AZUL
3150,CANICA (2.5CM) 40 L VERDE
3151,CANICA (2.5CM) 40 L ROJO/BLANCA
3180,ARROZ 100 L BLANCO
3181,ARROZ 100 L AZUL
3182,ARROZ 200 L BLANCO
3183,ARROZ 200 L COLOR
3184,ARROZ 200 L AZUL
3185,ARROZ 300 L BLANCO
3186,ARROZ 300 L AZUL
3187,CADENA BLANCA 300 L C/BLANCO
3188,CANICA GRANDE 72 L LED MULTICOLOR
3189,HOJAS BLANCAS TRANSP 36 L LED
3190,CANICA JUMBO 30 L LED
3191,FLOR DE PERA 28 L LED ROJO
3192,FLOR DE PERA 28 L LED MULTICOLOR
3193,FLOR DE LOTO 30 L LED MULTICOLOR
3194,FLOR DE BEGONIA 22 L MULTICOLOR
3195,DOBLE DIAMANTE LED BLANCO
3196,DOBLE DIAMANTE LED AZUL
3197,DOBLE DIAMANTE LED MORADO
3198,FOCO REEMPLAZABLE 100 L LED ROSA
3199,MARIPOSAS 20 L LED AZUL
3200,FLOR DE LOTO 20 L LED AZUL
3201,JAZMIN 30 L LED TRICOLOR
3202,JAZMIN 30 L LED BICOLOR
3203,ROSA GRANDE TRANSP BICOLOR 20 L LED
3204,LIBRE
3205,ESTRELLA DE MAR 30 L LED BLANCO
3206,HOJA DE MAPLE 48 L LED AZUL
3207,FLOR DE PERLA 36 L LED BICOLOR
3217,FOCO LED LARGO 5M BCO/ROSA
1943,MINICANICA V8 50 L LED BLANCA 3.40 M
1941,MINICANICA V8 50 L LED CALIDA 3.60 M
1942,MINICANICA V8 50 L LED BICOLOR 3.40 M
1947,MINICANICA V8 100 L LED BLANCA 6.60 M
1946,MINICANICA V8 100 L LED CALIDA 6.80 M
1948,MINICANICA V8 100 L LED COLOR 6.80 M
3270,MINICANICA V8 100 L LED COLOR C/TRANS
1986,MINICANICA V8 100 L LED MORADA 6.80 M 
1945,MINICANICA V8 100 L LED VERDE 6.60 M 
1944,MINICANICA V8 100 L LED BLANCA/AZUL 6.60 M
2740,MINICANICA V8 140 L LED BLANCA 6 M APROX
2741,MINICANICA V8 140 L LED CALIDA 6 M APROX
2742,MINICANICA V8 140 L LED AZUL 6 M APROX
2743,MINICANICA V8 140 L LED BLANCA/AZUL 6 M APROX
2744,MINICANICA V8 200 L LED CALIDA 9.50 M 
3269,MINICANICA V8 200 L LED COLOR
1953,MINICANICA V8 300 L LED BLANCA 14.10 M
1954,MINICANICA V8 300 L LED CALIDA 14.10 M
1987,MINICANICA V8 300 L LED COLOR 14.10 M 
2745,MINICANICA V8 300 L LED MULTIBLANCA 14.60 M
2746,MINICANICA V8 300 L LED BLANCA/AZUL 14.10 M 
2747,MINICANICA V8 300 L LED BLANCA/ROSA 14.10 M
2748,MINICANICA V8 300 L LED ROJA/AZUL/ROSA 14.10 M
2749,MINICANICA V8 500 L LED BLANCA 24.30 M
3271,MINICANICA V8 500 L LED CALIDA 24.30 M
2750,MINICANICA V8 500 L LED COLOR 24.30 M
3080,MINICANICA V8 500 L LED MULTI/CALIDO
1988,MANGUERA 6 M BLANCA
1989,MANGUERA GEL 10 M BLANCA
1990,MANGUERA GEL 10 M COLOR
1991,MANGUERA GEL 10 M AZUL
1992,MANGUERA GEL 10 M MORADA
1993,MANGUERA GEL 10 M ROJA 
3218,MANGUERA GEL 10 M BCO/ROJA 
1994,MANGUERA LED 10 M BLANCA 
1996,MANGUERA LED 10 M BLANCA FLASH
1997,MANGUERA LED 10 M COLOR 
1998,MANGUERA LED 10 M BICOLOR
3208,MANGUERA LED  10 M MORADA
2000,MANGUERA LED 10 M AZUL
2001,MANGUERA LED 10 M MOR/BCO 
2751,MANGUERA LED 10 M BLANCO/AZUL
3058,MANGUERA LED 10 M CARAMELO BLANCA
3059,MANGUERA LED 10 M CARAMELO COLOR
2002,MANGUERA LED 10 M BLANCA OFERTA
2003,MANGUERA LED 10 M BICOLOR OFERTA
2752,MANGUERA LED 10 M OPALINO BLANCA
1999,MANGUERA LED 10 M OPALINO COLOR 
2753,MANGUERA LED 10 M OPALINO AZUL
2754,MANGUERA LED 10 M OPALINO MORADO
2755,MANGUERA LED 10 M OPALINO ROSA
3060,MANGUERA LED 10 M OPALINO CARAMELO BLANCA
2004,MANGUERA CORRUGADA BLANCA
2005,MANGUERA CORRUGADA COLOR 
2006,MANGUERA CORRUGADA AZUL
2756,MANGUERA CORRUGADA MORADA
2757,MANGUERA CORRUGADA ROSA
3253,MANGUERA DE TIRA DE LEDS MULTICOLOR 10 M
2758,METRO MANGUERA LED BLANCA
2759,METRO MANGUERA LED BICOLOR
2760,METRO MANGUERA LED BLANCA/AZUL
2761,METRO MANGUERA LED CARAMELO
2947,METRO MANGUERA LED COLOR FIJA 
2007,ROLLO 100M MANGUERA LED BLANCA
2008,ROLLO 100M MANGUERA LED BICOLOR
