"id_productos","orden_lista","nombre","inventario_inicial","id_proveedor_producto"
"2050","20107","Mariposa Mini Morada Obscura R05935","520","18"
"2051","20110","Mariposa Mini Oro R05935","1928","19"
"2052","20112","Mariposa Mini Plata R05935","1484","20"
"2053","20113","Mariposa Mini Roja R05935","1668","21"
"2054","20114","Mariposa Mini Rosa R05935","96","22"
"2055","20115","Mariposa Mini Turquesa R05935","391","23"
"2056","20116","Mariposa Mini Verde R05935","202","24"
"2058","20121","Mariposa Chica Azul Marino W4762","1530","25"
"2059","20122","Mariposa Chica Blanca W4762","2682","26"
"2060","20124","Mariposa Chica Cobre W4762","28","27"
"2061","20127","Mariposa Chica Morada Obscura W4762","975","28"
"2063","20130","Mariposa Chica Oro W4762","96","1419"
"2063","20130","Mariposa Chica Oro W4762","3414","29"
"2068","20131","Mariposa Chica Oro Rosado W4762","83","33"
"2064","20132","Mariposa Chica Plata W4762","1914","30"
"2064","20132","Mariposa Chica Plata W4762","903","1420"
"2065","20133","Mariposa Chica Roja W4762","1027","1421"
"2065","20133","Mariposa Chica Roja W4762","1344","31"
"2066","20135","Mariposa Chica Turquesa W4762","792","298"
"2067","20136","Mariposa Chica Verde W4762","653","32"
"3514","20153","Pick Figuras X3 Ro/Tur/Bco","132","1104"
"3595","20156","Pick Figuras x3 Rojo/Verde","122","1180"
"1945","20232","Flor Pedreria Chica Plata A05287","15","1754"
"1949","20236","Flor Pedreria Chica Verde A05287","24","629"
"3495","21010","Hoja Oro M05275","314","1161"
"2070","22001","Nochebuena Chica Azul Marino F054771","57","854"
"2071","22002","Nochebuena Chica Blanca F054771","1123","247"
"2074","22010","Nochebuena Chica Oro F054771","440","248"
"2075","22012","Nochebuena Chica Plata F054771","625","249"
"2076","22013","Nochebuena Chica Roja F054771","64","250"
"3391","22022","Nochebuena Chica Blanca S05090","41","935"
"3593","22031","Pick Nochebuena Oro Rosado N05090","91","1186"
"3229","22050","Nochebuena Oro M05159","134","251"
"3230","22052","Nochebuena Plata M05159","183","1070"
"3231","22053","Nochebuena Roja M05159","13","252"
"2088","23001","Mariposa Mediana Azul Marino W4763","19","53"
"3463","23002","Mariposa Mediana Blanca A05286","96","1098"
"2094","23010","Mariposa Mediana Oro W4763 - A05286","984","297"
"2095","23012","Mariposa Mediana Plata W4763 - A05286","0","1438"
"2095","23012","Mariposa Mediana Plata W4763 - A05286","509","299"
"2096","23013","Mariposa Mediana Roja W4763 -A05286","630","55"
"2096","23013","Mariposa Mediana Roja W4763 -A05286","103","1422"
"2185","23016","Mariposa Mediana Verde W4763","524","1078"
"3507","23050","Pick de Flor X3 Oro M05262-1","670","1089"
"3508","23052","Pick de Flor X3 Plata M05262-1","336","1090"
"3509","23053","Pick de Flor X3 Roja M05262-1","693","1091"
"3515","23062","Pick de Aro Blanco C05482","104","1159"
"3518","23090","Pick de Pino Oro M05233","545","1164"
"3972","23110","Pick Skimmia Oro N05104","0","1425"
"3519","23111","Pick Skimmia Oro Rosado N05104","191","1185"
"3973","23112","Pick Skimmia Plata N05104","0","1426"
"3521","23130","Regalo con Tiras Oro A05102","442","1080"
"3522","23138","Regalo con Tiras Plata/Morado A05102","96","1082"
"3523","23139","Regalo con Tiras Rojo/Oro A05102","78","1081"
"3506","23158","Mariposa c/Tiras Oro/Rojo A05103","192","1427"
"2110","23224","Flor Pedreria Cobre A05152","72","255"
"2188","23226","Flor Con Pedreria Morado A05152","182","1429"
"2191","23236","Flor Pedreria Verde A05152","40","17"
"2178","24010","Hojita Oro C21058","253","1"
"2179","24012","Hojita Plata C21058","45","2"
"2180","24013","Hojita Roja C21058","107","3"
"3491","24042","Hoja Blanca M21113","974","1158"
"3965","24050","Hoja Oro M21113","0","1431"
"3966","24052","Hoja Plata M21113","1","1430"
"3967","24053","Hoja Roja M21113","0","1432"
"3489","24062","Hoja c/Pedreria Blanca A08316","1038","1154"
"3243","24130","Vara Tipo Coral Oro  S66845","15","1174"
"3500","24172","Hoja Maple x3 Plata C05236","634","1169"
"3501","24173","Hoja Maple x3 Rojo C05236","1534","1163"
"3480","24312","Vara con Esferitas X6 Plata M78007","19","1095"
"3481","24313","Vara con Esferitas X6 Rojo M78007","82","1096"
"3482","24316","Vara con Esferitas X6 Verde M78007","186","1097"
"3487","24332","Ramita de Granadas Plata R02858","255","1102"
"2084","24410","Estrellitas Oro M10009","2991","36"
"2085","24412","Estrellitas Plata M10009","480","37"
"2086","24413","Estrellitas Rojas M10009","3252","38"
"3468","24415","Estrellitas Turquesa M10009","1056","1086"
"3469","24416","Estrellitas Verde  M10009","780","1176"
"2135","24430","Hoja de Estrellitas Oro C05277","589","1167"
"2117","25021","Nochebuena Azul Marino M05210","595","59"
"2118","25022","Nochebuena Blanca M05210","512","242"
"2119","25030","Nochebuena Oro M05210","1536","243"
"2120","25032","Nochebuena Plata M05210","907","244"
"2121","25033","Nochebuena Roja M05210","1377","245"
"2069","25053","Nochebuena Roja N63666","26","602"
"2780","25062","Nochebuena Blanca DL63301","1069","523"
"2934","25070","Nochebuena Oro DL63301","0","524"
"3962","25072","Nochebuena Plata DL63301","0","1434"
"2169","25130","Pick 3 Nochebuenas Oro N05129","0","1435"
"3516","25131","Pick 3 Nochebuenas Oro Rosado N05129","900","1177"
"3474","25210","Vara de Nochebuena X3 Oro M05136","342","1106"
"3475","25212","Vara de Nochebuena X3 Plata M05136","78","1107"
"3476","25213","Vara de Nochebuena X3 Rojo M05136","180","1108"
"3233","25223","Vara Nochebuena X3 Champange M01587","150","1148"
"3510","26010","Pick de Bolitas Oro YV3148","522","1110"
"3511","26012","Pick de Bolitas Plata YV3148","768","1111"
"3512","26013","Pick de Bolitas Rojo YV3148","1162","1113"
"3513","26016","Pick de Bolitas Verde YV3148","520","1114"
"2107","27010","Hoja M21114 Oro","303","911"
"2139","27022","Ramita Plata F78089","122","50"
"3963","27023","Ramita Chocolate F78089","0","1436"
"3465","27054","Rama Rosa W4852","239","1103"
"2128","27055","Rama Turquesa C05017","332","1440"
"2130","27056","Rama Verde W4852 - C05017","158","1441"
"2130","27056","Rama Verde W4852 - C05017","15","254"
"3249","27072","Helecho Plata R21271","0","41"
"2952","27092","Helecho Mediano Plata M21124","489","526"
"3466","27093","Helecho Mediano Rojo M21124","1707","1087"
"3241","27096","Helecho Mediano Verde M21124","322","631"
"2961","27102","Hoja Chica Blanca R21240","383","692"
"3467","27103","Hoja Chica Chocolate R21240","488","1088"
"2963","27113","Hoja Chica Roja R21240","720","693"
"3188","27133","Palma Chica Roja M10011","15","633"
"3472","27156","Vara de Estrellas Verde F054851 ","160","1085"
"3473","27170","Vara 18 Oro S66835","439","1172"
"3968","27203","Hoja Chocolate M66032","0","1442"
"3497","27210","Hoja Oro M66032","351","1168"
"3969","27212","Hoja Plata M66032","0","1443"
"3492","27213","Hoja Roja M66032","741","1162"
"3490","27222","Hoja Blanca M21090","1209","1156"
"3493","27242","Hoja Dinero Blanca M63006","36","1160"
"3494","27250","Hoja Dinero Oro M63006","462","1171"
"2257","27273","Hoja Roja M63078","334","925"
"2965","27282","Vara Blanca DL05081","12","696"
"2967","27293","Vara Roja DL05081","321","698"
"3470","27310","Vara con Bolitas Oro A05142","231","1109"
"2250","27322","Vara c/Acrilico Blanca SEM4425W","48","917"
"2938","27342","Vara C/Acrilico Blanca SEM4423W","1013","918"
"3498","27370","Hoja Oro S05214","499","1170"
"3502","27402","Hoja Maple x5 Blanca DL05072 ","240","1155"
"3503","27410","Hoja Maple x5 Oro DL05072 ","230","1165"
"3504","27422","Hoja Blanca M21076","1173","1219"
"3505","27453","Hoja Tipo Coral Rojo M21047","1584","1220"
"2144","28002","Nochebuena Diamantada Chica Blanca M05124","63","240"
"2145","28004","Nochebuena Diamantada Chica Cobre M05124","47","43"
"2146","28007","Nochebuena Diamantada Chica Morada Obscura M05124","756","44"
"2148","28010","Nochebuena Diamantada Chica Oro M05124","1969","239"
"2153","28011","Nochebuena Diamantada Chica Oro Rosado M05124","1461","46"
"2150","28013","Nochebuena Diamantada Chica Roja M05124","601","45"
"2152","28016","Nochebuena Diamantada Chica Verde M05124","119","241"
"1951","28041","Nochebuena Azul Marino DL64014","18","634"
"3254","28042","Nochebuena Blanca DL64014","54","528"
"2936","28050","Nochebuena Oro DL64014","16","529"
"2937","28053","Nochebuena Roja  DL64014","33","601"
"2162","28062","Nochebuena c/Clip Blanco Perla N06691","576","1153"
"2164","28070","Nochebuena c/Clip Oro N06691","1379","1099"
"2163","28071","Nochebuena c/Clip Oro Rosado N06691","96","1152"
"3445","28072","Nochebuena c/Clip Plata N06691","1509","1205"
"2256","28082","Nochebuena Blanca W05240","4466","920"
"3180","28110","Nochebuena Oro N06689","1604","915"
"2258","28113","Nochebuena Roja N06689","1702","922"
"2259","28133","Nochebuena Roja W06273","888","923"
"3520","28153","Pick nochebuena Rojo F89135","48","1147"
"2155","28304","Nochebuena Terciopelo Chica Cobre R05923","0","47"
"2155","28304","Nochebuena Terciopelo Chica Cobre R05923","0","1445"
"2156","28307","Nochebuena Terciopelo Chica Morada R05923","11","1444"
"2157","28310","Nochebuena Terciopelo Chica Oro R05923","7","1757"
"2157","28310","Nochebuena Terciopelo Chica Oro R05923","1110","48"
"2158","28312","Nochebuena Terciopelo Chica Plata R05923","55","933"
"2159","28313","Nochebuena Terciopelo Chica Roja R05923","692","49"
"2248","28323","Nochebuena Terciopelo Beige RK05928","24","912"
"3464","28333","Nochebuena Terciopelo Rojo RK05928","864","1150"
"2101","28343","Nochebuena Diaman Champange R05922","609","1184"
"2103","28350","Nochebuena Diaman Oro R05922","2965","1182"
"2105","28353","Nochebuena Diaman Roja R05922","2151","1183"
"3232","29001","Berries Nevados S36088","384","238"
"2132","29005","Berries F02376","137","879"
"3483","29010","Berry Rojo K63333","28","1149"
"2959","29033","Berry Rojo F66602","231","691"
